Battery,Car_name,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.,Range_per_kWh
106.5,73,201,630.0,69950.0,530,205,3.9,4.976525821596244
89.0,135,170,660.0,67187.0,525,210,7.3,5.898876404494382
28.5,85,168,180.0,39900.0,170,145,8.3,5.964912280701754
109.0,110,240,950.0,150990.0,455,260,2.9,4.174311926605505
62.0,258,188,510.0,50990.0,330,180,3.7,5.32258064516129
50.8,205,169,450.0,45765.0,300,150,9.0,5.905511811023622
108.4,153,217,750.0,110801.0,500,210,6.7,4.612546125461255
44.9,35,176,260.0,32740.0,255,160,8.0,5.679287305122495
48.1,191,153,490.0,38045.0,315,150,8.1,6.548856548856548
56.0,259,193,330.0,40490.0,290,156,8.5,5.178571428571429
77.0,284,181,630.0,49020.0,425,180,6.6,5.51948051948052
40.0,241,154,370.0,42000.0,260,150,10.0,6.5
47.0,255,184,330.0,37490.0,255,180,6.7,5.425531914893617
50.8,48,154,470.0,41540.0,330,150,10.0,6.496062992125984
92.0,115,159,970.0,129000.0,580,250,3.2,6.304347826086956
107.0,296,238,590.0,110650.0,450,180,4.9,4.205607476635514
77.0,282,183,630.0,53255.0,420,180,5.4,5.454545454545454
66.5,131,187,510.0,56424.0,355,160,6.0,5.338345864661654
77.0,250,164,700.0,53400.0,470,180,6.6,6.103896103896104
70.5,129,164,600.0,52205.0,430,160,8.6,6.099290780141844
108.4,150,184,880.0,141705.0,590,210,4.3,5.44280442804428
45.0,240,205,230.0,39300.0,220,132,12.6,4.888888888888889
48.1,203,155,480.0,36775.0,310,150,8.2,6.444906444906445
60.0,2,190,380.0,39563.0,315,150,7.5,5.25
48.4,94,167,280.0,41990.0,290,160,7.8,5.991735537190083
77.0,9,195,590.0,59000.0,395,180,5.4,5.12987012987013
90.0,174,178,530.0,90900.0,505,200,3.8,5.611111111111111
77.0,4,177,650.0,54950.0,435,180,6.7,5.64935064935065
64.0,107,173,350.0,46950.0,370,167,7.9,5.78125
101.7,24,196,780.0,115700.0,520,205,5.5,5.11307767944936
106.0,14,233,570.0,95800.0,455,210,4.5,4.2924528301886795
83.7,229,186,1110.0,139906.0,450,250,3.7,5.376344086021505
83.7,231,173,1190.0,98863.0,485,230,5.4,5.7945041816009555
101.7,23,208,730.0,181800.0,490,250,3.7,4.818092428711898
50.8,187,169,480.0,43490.0,300,170,9.3,5.905511811023622
66.0,289,186,430.0,47500.0,355,180,7.3,5.378787878787879
92.0,114,156,990.0,109000.0,590,200,4.2,6.413043478260869
